ID;Name_lang;Pos;MapOffset;FlightMapOffset;ContinentID;ConditionID;CharacterBitNumber;Flags;UiTextureKitID;MinimapAtlasMemberID;Facing;SpecialIconConditionID;VisibilityConditionID;MountCreatureID
14;Southshore, Hillsbrad;-711.47998046875,-515.47998046875,26.110000610351562;0,0;0,0;0;5793;14;1024;0;4689;0;0;0;0,541
15;Eastern Plaguelands;2253.39990234375,-5344.89990234375,83.37999725341797;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,541
16;Refuge Pointe, Arathi;-1240.530029296875,-2515.110107421875,22.15999984741211;0,0;0,0;0;0;16;1;0;4689;0;0;0;0,541
17;Hammerfall, Arathi;-916.2899780273438,-3496.889892578125,70.44999694824219;0.007000000216066837,-0.007000000216066837;0,0;0;0;17;2;0;4689;0;0;0;2224,0
18;Booty Bay, Stranglethorn;-14444.2998046875,509.6199951171875,26.200000762939453;0,0;0,0;0;0;18;2;0;4689;0;0;0;2224,0
19;Booty Bay, Stranglethorn;-14473,464.1499938964844,36.43000030517578;0,0;0,0;0;0;19;1;0;4689;0;0;0;0,541
20;Grom'gol, Stranglethorn;-12414.2001953125,146.2899932861328,3.2799999713897705;0,0;0,0;0;0;20;2;0;4689;0;0;0;2224,0
21;New Kargath, Badlands;-6676.8701171875,-2433.3701171875,272.77099609375;0.0020000000949949026,-0.009999999776482582;0,0;0;0;21;2;0;4689;0;0;0;2224,0
22;Thunder Bluff, Mulgore;-1197.2099609375,29.709999084472656,176.9499969482422;0,0;0,0;1;0;22;2;0;4689;0;0;0;2224,0
23;Orgrimmar, Durotar;1798.27001953125,-4363.27001953125,102.8479995727539;0.024950100108981133,0.004360469989478588;0,0;1;0;23;2;0;4689;0;0;0;2224,0
24;Generic, World Target 002;-6666,-2222.300048828125,278.6000061035156;0,0;0,0;0;0;24;1024;0;4689;0;0;0;0,0
25;The Crossroads, Northern Barrens;-441.79998779296875,-2596.080078125,96.05999755859375;0.0039920201525092125,-0.010174400173127651;0,0;1;0;25;2;0;4689;0;0;0;2224,0
26;Lor'danel, Darkshore;7459.89990234375,-326.55999755859375,8.09000015258789;0,-0.019999999552965164;0,0;1;0;26;9;0;4689;0;0;62814;0,3837
27;Rut'theran Village, Teldrassil;8383.75,980.9639892578125,30.829200744628906;0,0;0,0;1;0;27;9;0;4689;0;0;62814;0,3837
28;Astranaar, Ashenvale;2827.340087890625,-289.239990234375,107.16000366210938;0.00800000037997961,0;0,0;1;0;28;1;0;4689;0;0;0;0,3837
29;Sun Rock Retreat, Stonetalon Mountains;966.5700073242188,1040.3199462890625,104.2699966430664;0.020999999716877937,0.004999999888241291;0,0;1;0;29;2;0;4689;0;0;0;2224,0
30;Westreach Summit, Thousand Needles;-4310.60986328125,-927.0640258789062,81.17960357666016;0,0;0,0;1;0;30;2;0;4689;0;0;0;2224,0
31;Shadebough, Feralas;-4996.8798828125,73.94270324707031,99.8385009765625;0,0;0,0;1;0;31;1;0;4689;0;0;0;0,3837
32;Theramore, Dustwallow Marsh;-3825.3701171875,-4516.580078125,10.4399995803833;0,0.00800000037997961;0,0;1;19444;32;9;0;4689;0;0;0;0,541
33;Thal'darah Overlook, Stonetalon Mountains;2147.25,1537.8699951171875,341.239990234375;-0.017000000923871994,0;0,0;1;0;33;1;0;4689;0;0;0;0,3837
34;Transport, Booty Bay;-1965.1700439453125,-5824.2900390625,-1.059999942779541;0,0;0,0;1;0;0;1024;0;4689;0;0;0;0,0
35;Transport, Orgrimmar;1320.0699462890625,-4649.2001953125,21.56999969482422;0,0;0,0;1;0;0;1024;0;4689;0;0;0;0,0
36;Generic, World Target 001;-8644.6201171875,433.2799987792969,59.459999084472656;0,0;0,0;0;0;0;1024;0;4689;0;0;0;15665,0
37;Nijel's Point, Desolace;139.24000549316406,1325.8199462890625,193.5;0.007000000216066837,0;0,0;1;0;37;1;0;4689;0;0;0;0,3837
38;Shadowprey Village, Desolace;-1767.6400146484375,3263.889892578125,4.940000057220459;0,0;0,0;1;0;38;2;0;4689;0;0;0;2224,0
39;Gadgetzan, Tanaris;-7185.97021484375,-3768.239990234375,9.300530433654785;0,0;0,0;1;0;39;1;0;4689;0;0;0;0,541
40;Gadgetzan, Tanaris;-7094.02978515625,-3813.68994140625,9.496950149536133;0,0;0,0;1;0;40;2;0;4689;0;0;0;2224,0
41;Feathermoon, Feralas;-4467.0400390625,2188.639892578125,17.89389991760254;0,-0.009999999776482582;0,0;1;0;41;1;0;4689;0;0;0;0,3837
42;Camp Mojache, Feralas;-4419.85986328125,199.30999755859375,25.059999465942383;-0.004000000189989805,0;0,0;1;0;42;2;0;4689;0;0;0;2224,0
43;Aerie Peak, The Hinterlands;283.739990234375,-2002.760009765625,194.74000549316406;0,-0.009999999776482582;0,0;0;0;43;1;0;4689;0;0;0;0,541
44;Bilgewater Harbor, Azshara;3547.199951171875,-6294.66015625,0.7542449831962585;0,0;0,0;1;0;44;2;0;4689;0;0;0;2224,0
45;Nethergarde Keep, Blasted Lands;-11112.2998046875,-3435.739990234375,79.08999633789062;0,0.014999999664723873;0,0;0;46758;45;9;0;4689;0;0;0;0,541
46;Transport, Southshore;-986.4299926757812,-547.8599853515625,-3.859999895095825;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,0
47;Transport, Grom'gol;-12418.76953125,235.42999267578125,1.1200000047683716;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,0
48;Bloodvenom Post, Felwood [DISABLED in 4.x];5123.509765625,-321.1809997558594,359.5400085449219;0,0;0,0;1;5793;48;1024;0;4689;0;0;0;2224,0
49;Moonglade;7458.4501953125,-2487.2099609375,462.3299865722656;0,0;0,0;1;0;49;1;0;4689;0;0;0;0,3837
50;Transport, Menethil Harbor;0,0,0;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,0
51;Transport, Auberdine;0,0,0;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,0
52;Everlook, Winterspring;6796.7998046875,-4742.39013671875,701.5;0,-0.009999999776482582;0,0;1;0;52;1;0;4689;0;0;0;0,3837
53;Everlook, Winterspring;6813.06005859375,-4611.1201171875,710.6699829101562;0,-0.008999999612569809;0,0;1;0;53;2;0;4689;0;0;0;2224,0
54;Transport, Feathermoon;-4203.8701171875,3284,-12.859999656677246;0,0;0,0;1;0;0;1024;0;4689;0;0;0;0,0
55;Brackenwall Village, Dustwallow Marsh;-3147.389892578125,-2842.179931640625,34.61000061035156;-0.006000000052154064,0;0,0;1;0;55;2;0;4689;0;0;0;2224,0
56;Stonard, Swamp of Sorrows;-10457,-3279.25,21.350000381469727;-0.00800000037997961,0;0,0;0;0;56;2;0;4689;0;0;0;2224,0
57;Fishing Village, Teldrassil;8701.509765625,991.3699951171875,14.210000038146973;0,0;0,0;1;0;0;1024;0;4689;0;0;0;0,3837
58;Zoram'gar Outpost, Ashenvale;3351.820068359375,1052.300048828125,3.069999933242798;-0.00800000037997961,-0.008999999612569809;0,0;1;0;58;2;0;4689;0;0;0;2224,0
59;Dun Baldar, Alterac Valley;574.2100219726562,-46.650001525878906,37.61000061035156;0,0;0,0;30;0;0;1024;0;4689;0;0;0;0,541
60;Frostwolf Keep, Alterac Valley;-1335.43994140625,-319.69000244140625,90.66000366210938;0,0;0,0;30;0;0;1024;0;4689;0;0;0;3574,0
61;Splintertree Post, Ashenvale;2302.389892578125,-2524.550048828125,104.4000015258789;0,-0.012000000104308128;0,0;1;0;61;2;0;4689;0;0;0;2224,0
62;Nighthaven, Moonglade;7793.60986328125,-2403.469970703125,489.32000732421875;0,0;0,0;1;62814;0;1025;0;4689;0;0;62814;0,3837
63;Nighthaven, Moonglade;7787.72021484375,-2404.10009765625,489.55999755859375;0,0;0,0;1;0;0;1026;0;4689;0;0;0;2224,0
64;Talrendis Point, Azshara (NEVER in 4.x);2721.989990234375,-3880.639892578125,100.87000274658203;0,0;0,0;1;5793;64;1024;0;4689;0;0;0;0,3837
65;Talonbranch Glade, Felwood;6214.31982421875,-1874.280029296875,565.9559936523438;0.004000000189989805,0;0,0;1;0;65;1;0;4689;0;0;0;0,3837
66;Chillwind Camp, Western Plaguelands;931.3200073242188,-1430.1099853515625,64.66999816894531;-0.007000000216066837,0.014999999664723873;0,0;0;0;66;1;0;4689;0;0;0;0,541
67;Light's Hope Chapel, Eastern Plaguelands;2271.090087890625,-5340.7998046875,87.11000061035156;0,0;0,0;0;924;67;1;0;4689;0;0;0;0,44248
68;Light's Hope Chapel, Eastern Plaguelands;2270.199951171875,-5343.10986328125,86.97329711914062;-0.00800000037997961,-0.004999999888241291;0,0;0;923;68;2;0;4689;0;0;0;44248,0
69;Moonglade;7470.39013671875,-2123.3798828125,492.3399963378906;0,0;0,0;1;0;69;2;0;4689;0;0;0;2224,0
70;Flame Crest, Burning Steppes;-7504.02978515625,-2187.5400390625,165.52999877929688;0.014999999664723873,0;0,0;0;0;70;2;0;4689;0;0;0;2224,0
71;Morgan's Vigil, Burning Steppes;-8364.6103515625,-2738.35009765625,185.4600067138672;0,0;0,0;0;0;71;1;0;4689;0;0;0;0,541
72;Cenarion Hold, Silithus;-6811.39013671875,836.739990234375,49.810001373291016;0,0;0,0;1;53948;72;10;0;4689;0;0;0;2224,0
73;Cenarion Hold, Silithus;-6761.830078125,772.030029296875,88.91000366210938;0,-0.004999999888241291;0,0;1;53948;73;9;0;4689;0;0;0;0,3837
74;Thorium Point, Searing Gorge;-6552.58984375,-1168.27001953125,309.30999755859375;-0.004000000189989805,0.027000000700354576;0,0;0;0;74;1;0;4689;0;0;0;0,541
75;Thorium Point, Searing Gorge;-6554.93017578125,-1100.050048828125,309.57000732421875;0.027000000700354576,0.027000000700354576;0,0;0;0;75;2;0;4689;0;0;0;2224,0
76;Revantusk Village, The Hinterlands;-635.260009765625,-4720.5,5.380000114440918;-0.007000000216066837,0.007000000216066837;0,0;0;0;76;2;0;4689;0;0;0;2224,0
77;Vendetta Point, Southern Barrens;-2152.35009765625,-1724.3399658203125,92.52799987792969;0.019999999552965164,0;0,0;1;0;227;2;0;4689;0;0;0;2224,0
78;Naxxramas;3133.31005859375,-3399.929931640625,139.52999877929688;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,0
79;Marshal's Stand, Un'Goro Crater;-7548.0498046875,-1541.1300048828125,-271.04998779296875;-0.003000000026077032,0.009999999776482582;0,0;1;0;79;3;0;4689;0;0;0;2224,541
80;Ratchet, Northern Barrens;-894.5900268554688,-3773.010009765625,11.479999542236328;-0.005988019984215498,-0.014534899964928627;0,0;1;0;80;3;0;4689;0;0;0;2224,541
81;Filming;0,0,0;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
82;Silvermoon City;9375.240234375,-7165.89013671875,9.029999732971191;0,0;0,0;530;145597;82;6;0;4689;0;0;145597;19917,0
83;Tranquillien, Ghostlands;7594.47021484375,-6784.2900390625,86.45999908447266;0.006000000052154064,0;0,0;530;145597;83;2;0;4689;0;0;145597;19917,0
84;Plaguewood Tower, Eastern Plaguelands;2965.550048828125,-3033.610107421875,126.92900085449219;0,-0.014999999664723873;0,0;0;0;154;3;0;4689;0;0;0;44248,44248
85;Northpass Tower, Eastern Plaguelands;3134.260009765625,-4354.77978515625,133.46299743652344;0,0;0,0;0;0;153;3;0;4689;0;0;0;44248,44248
86;Eastwall Tower, Eastern Plaguelands;2524.43994140625,-4769.56005859375,104.08699798583984;0.014000000432133675,0.009999999776482582;0,0;0;0;147;3;0;4689;0;0;0;44248,44248
87;Crown Guard Tower, Eastern Plaguelands;1876.4000244140625,-3693.320068359375,157.68699645996094;0.017000000923871994,-0.012000000104308128;0,0;0;0;152;3;0;4689;0;0;0;44248,44248
88;Transport, Exodar;-4284.009765625,-11194.740234375,13.010000228881836;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
89;Transport, Theramore;0,0,0;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,0
90;Transport, Undercity;0,0,0;0,0;0,0;1;0;0;1024;0;4689;0;0;0;0,0
91;Quest - Azuremyst Shaman Target;-3996.010009765625,-11892.9697265625,0.2199999988079071;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
92;Quest - Azuremyst Shaman Start;-3679.31005859375,-11413.0400390625,310.57000732421875;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
93;Blood Watch, Bloodmyst Isle;-1933.27001953125,-11954.599609375,57.189998626708984;0,0;0,0;530;0;93;1;0;4689;0;0;0;0,3837
94;The Exodar;-3867.56005859375,-11641.099609375,-137.66400146484375;0,0;0,0;530;0;94;1;0;4689;0;0;0;0,3837
95;Zangarmarsh - Quest - As the Crow Flies;-146.2899932861328,5532.56005859375,30.889999389648438;0,0;0,0;530;0;0;1024;0;4689;0;0;0;17972,0
96;Zangarmarsh - Quest - As the Crow Flies - End;-145.22999572753906,5533.02978515625,30.950000762939453;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
97;Quest - Elekk Path to Kessel;-3968.3701171875,-11929.150390625,-1.2200000286102295;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,18167
98;Quest - Elekk to Kessel Target;-2662.300048828125,-12144.599609375,16.90999984741211;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
99;Thrallmar, Hellfire Peninsula;228.5,2633.570068359375,87.66999816894531;0.013000000268220901,-0.008999999612569809;0,0;530;0;99;2;0;4689;0;0;0;2224,0
100;Honor Hold, Hellfire Peninsula;-673.4199829101562,2717.27001953125,94.18000030517578;0.012000000104308128,0.009999999776482582;0,0;530;0;100;1;0;4689;0;0;0;0,541
101;Temple of Telhamat, Hellfire Peninsula;199.16000366210938,4241.56005859375,121.75;0,-0.019999999552965164;0,0;530;0;101;1;0;4689;0;0;0;0,3837
102;Falcon Watch, Hellfire Peninsula;-587.4099731445312,4101.009765625,91.37000274658203;0.0020000000949949026,-0.009999999776482582;0,0;530;0;102;2;0;4689;0;0;0;2224,0
103;Nagrand - PvP - Attack Run Start 1 ;-1810.1600341796875,8032.10986328125,-25.950000762939453;0,0;0,0;530;0;0;1024;0;4689;0;0;0;18345,18345
104;Nagrand - PvP - Attack Run End 1;-1824.1800537109375,8049.2900390625,-26.850000381469727;0,0;0,0;530;0;0;1024;0;4689;0;0;0;13161,13161
105;Nagrand - PvP - Attack Run Start 2;-1513.4000244140625,8140.93017578125,-19.600000381469727;0,0;0,0;530;0;0;1024;0;4689;0;0;0;18345,18345
106;Nagrand - PvP - Attack Run End 2;-1511.260009765625,8149.7099609375,-18.579999923706055;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,541
107;Nagrand - PvP - Attack Run Start 3;-1387.0699462890625,7782.41015625,-11.470000267028809;0,0;0,0;530;0;0;1024;0;4689;0;0;0;18345,18345
108;Nagrand - PvP - Attack Run End 3;-1376.719970703125,7771.169921875,-10.079999923706055;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,541
109;Nagrand - PvP - Attack Run Start 4;-1656.5999755859375,7724.91015625,-15.59000015258789;0,0;0,0;530;0;0;1024;0;4689;0;0;0;18345,18345
110;Nagrand - PvP - Attack Run End 4;-1658.9000244140625,7724.7099609375,-15.789999961853027;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,541
111;Eversong - Duskwither Teleport;9335.830078125,-7883.06982421875,74.91000366210938;0,0;0,0;530;0;0;1024;0;4689;0;0;0;18392,18392
112;Eversong - Duskwither Teleport End;9335.669921875,-7809.7099609375,136.57000732421875;0,0;0,0;530;0;0;1024;0;4689;0;0;0;17972,17972
113;Quest - Nethrandamus Start;-1544.3599853515625,8792.0703125,35.220001220703125;0,0;0,0;530;0;0;1024;0;4689;0;0;0;18543,18543
114;Quest - Nethrandamus End Target;-1544.3599853515625,8792.08984375,35.220001220703125;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
115;Quest - Caverns of Time OH - Begin;2384.72998046875,1169.3800048828125,66.86000061035156;0,0;0,0;560;0;0;1024;0;4689;0;0;0;18768,18768
116;Quest - Caverns of Time OH - End;2014.6500244140625,239.64999389648438,68.5199966430664;0,0;0,0;560;0;0;1024;0;4689;0;0;0;0,0
117;Telredor, Zangarmarsh;213.75,6063.75,148.30999755859375;0,0;0,0;530;0;117;1;0;4689;0;0;0;0,3837
118;Zabra'jin, Zangarmarsh;219.4499969482422,7816,22.719999313354492;0,0;0,0;530;0;118;2;0;4689;0;0;0;2224,0
119;Telaar, Nagrand;-2729,7305.2998046875,88.63999938964844;0.0020000000949949026,0.024000000208616257;0,0;530;0;119;1;0;4689;0;0;0;0,3837
120;Garadar, Nagrand;-1261.0899658203125,7133.39013671875,57.34000015258789;0.009999999776482582,-0.007000000216066837;0,0;530;0;120;2;0;4689;0;0;0;2224,0
121;Allerian Stronghold, Terokkar Forest;-2987.239990234375,3872.780029296875,9.130000114440918;0,0;0,0;530;0;121;1;0;4689;0;0;0;0,541
122;Area 52, Netherstorm;3082.31005859375,3596.110107421875,144.02000427246094;-0.027000000700354576,-0.023000000044703484;0,0;530;0;122;3;0;4689;0;0;0;2224,541
123;Shadowmoon Village, Shadowmoon Valley;-3018.6201171875,2557.090087890625,79.08999633789062;0.009999999776482582,0;0,0;530;0;123;2;0;4689;0;0;0;2224,0
124;Wildhammer Stronghold, Shadowmoon Valley;-3982.070068359375,2156.469970703125,105.1500015258789;0,0;0,0;530;0;124;1;0;4689;0;0;0;0,541
125;Sylvanaar, Blade's Edge Mountains;2183.64990234375,6794.4599609375,183.27999877929688;0,0;0,0;530;0;125;1;0;4689;0;0;0;0,3837
126;Thunderlord Stronghold, Blade's Edge Mountains;2446.3701171875,6020.93017578125,154.33999633789062;0,0.004000000189989805;0,0;530;0;126;2;0;4689;0;0;0;2224,0
127;Stonebreaker Hold, Terokkar Forest;-2567.330078125,4423.830078125,39.33000183105469;0,0;0,0;530;0;127;2;0;4689;0;0;0;2224,0
128;Shattrath, Terokkar Forest;-1837.22998046875,5301.89990234375,-12.430000305175781;0,0;0,0;530;0;128;3;0;4689;0;0;0;2224,541
129;Hellfire Peninsula, The Dark Portal;-327.3500061035156,1020.489990234375,54.25;0.0020000000949949026,0.029999999329447746;0,0;530;0;129;1;0;4689;0;0;0;0,541
130;Hellfire Peninsula, The Dark Portal;-178.08999633789062,1026.719970703125,54.189998626708984;0.004000000189989805,-0.00800000037997961;0,0;530;0;130;2;0;4689;0;0;0;2224,0
131;Quest - Horde Hellfire Start;-25.510000228881836,2133.449951171875,112.5999984741211;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19275,18376
132;Quest - Horde Hellfire End;-25.600000381469727,2133.39990234375,112.58000183105469;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19275,0
133;Quest - Hellfire Peninsula (Alliance Path) Start;-673.72998046875,1855.2900390625,68.97000122070312;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19324,19324
134;Quest - Hellfire Peninsula (Alliance) End;-673.75,1855.3199462890625,68.95999908447266;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19324,19324
135;Quest - Hellfire, Aerial Mission (Horde) Start;-27.649999618530273,2126.570068359375,111.8499984741211;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19275,19324
136;Quest - Hellfire, Aerial Mission (Horde) End;-27.520000457763672,2126.5,111.87999725341797;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19275,19324
137;Quest - Hellfire, Aerial Mission (Alliance) Start;298.5,1501.260009765625,-14.279999732971191;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19275,19324
138;Quest - Hellfire, Aerial Mission (Alliance) End;298.5899963378906,1501.1300048828125,-14.25;0,0;0,0;530;0;0;1024;0;4689;0;0;0;19275,19324
139;The Stormspire, Netherstorm;4157.580078125,2959.68994140625,352.0799865722656;-0.004999999888241291,-0.017999999225139618;0,0;530;0;139;3;0;4689;0;0;0;2224,541
140;Altar of Sha'tar, Shadowmoon Valley;-3065.60009765625,749.4199829101562,-10.100000381469727;0,0;0,0;530;6211;140;3;0;4689;0;0;0;2224,541
141;Spinebreaker Ridge, Hellfire Peninsula;-1316.8399658203125,2358.6201171875,88.95999908447266;0,0;0,0;530;0;141;2;0;4689;0;0;0;2224,0
142;Hellfire Peninsula - Reaver's Fall;-29.15999984741211,2125.719970703125,111.47000122070312;0.007000000216066837,0;0,0;530;0;0;1024;0;4689;0;0;0;2224,0
143;Quest - Caverns of Time (Intro Flight Path) (End);-8360.73046875,-4327.72998046875,-208.3300018310547;0,0;0,0;1;0;0;1024;0;4689;0;0;0;16081,16081
144;Quest - Caverns of Time (Intro Flight Path) (Start);-8162.009765625,-4796.22998046875,35.779998779296875;0,0;0,0;1;0;0;1024;0;4689;0;0;0;18768,18768
145;Quest - Netherstorm - Stealth Flight - Begin;3079.010009765625,3599.080078125,144.07000732421875;0,0;0,0;530;0;0;1024;0;4689;0;0;0;2224,0
146;Quest - Netherstorm - Stealth Flight - End;2235.340087890625,2793.77001953125,128.02999877929688;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
147;Hellfire Peninsula - Force Camp Beach Head;509.1700134277344,1988.68994140625,109.62000274658203;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,19324
148;Shatter Point, Hellfire Peninsula (Beach Assault);298.4599914550781,1501.1800537109375,-14.279999732971191;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,19324
149;Shatter Point, Hellfire Peninsula;276.20001220703125,1486.9100341796875,-15.100000381469727;0,0;0,0;530;0;149;1;0;4689;0;0;0;0,541
150;Cosmowrench, Netherstorm;2974.949951171875,1848.239990234375,141.27999877929688;0,0.009999999776482582;0,0;530;0;150;3;0;4689;0;0;0;2224,541
151;Swamprat Post, Zangarmarsh;91.66999816894531,5214.919921875,23.100000381469727;0.017000000923871994,0.01600000075995922;0,0;530;0;151;2;0;4689;0;0;0;2224,0
152;Quest - Netherstorm - Manaforge Ultris (Start);4262.39013671875,2136.919921875,139.44000244140625;0,0;0,0;530;0;0;1024;0;4689;0;0;0;20903,20903
153;Quest - Netherstorm - Manaforge Ultris (End);4266.7001953125,2133.3798828125,138.82000732421875;0,0;0,0;530;0;0;1024;0;4689;0;0;0;20903,20903
154;Quest - Netherstorm - Manaforge Ultris (Second Pass) Start;20047.880859375,5200.68994140625,19742.779296875;0,0;0,0;0;0;0;1024;0;4689;0;0;0;20903,20903
155;Quest - Netherstorm - Manaforge Ultris (Second Pass) End;4267.14013671875,2133.030029296875,138.77000427246094;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
156;Toshley's Station, Blade's Edge Mountains;1857.3499755859375,5531.8701171875,277.010009765625;0,0;0,0;530;0;156;1;0;4689;0;0;0;0,541
157;Quest - Blade's Edge - Vision Guide - Start;2277.739990234375,5983.35009765625,142.60000610351562;0,0;0,0;530;0;0;1024;0;4689;0;0;0;21396,0
158;Quest - Blade's Edge - Vision Guide - End;2278.56005859375,5983.7099609375,142.57000732421875;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
159;Sanctum of the Stars, Shadowmoon Valley;-4073.169921875,1123.6099853515625,42.470001220703125;0.014000000432133675,0;0,0;530;6212;159;3;0;4689;0;0;0;2224,541
160;Evergrove, Blade's Edge Mountains;2976.010009765625,5501.1298828125,143.6699981689453;0,0;0,0;530;0;160;3;0;4689;0;0;0;2224,541
161;Quest - Nether Dragon Ally - Start;0,0,0;0,0;0,0;530;0;0;1024;0;4689;0;0;0;22360,22360
162;Quest - Nether Dragon Ally - End;-4100.27001953125,950.3800048828125,22.110000610351562;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
163;Mok'Nathal Village, Blade's Edge Mountains;2028.7900390625,4705.27001953125,150.50999450683594;0,0;0,0;530;0;163;2;0;4689;0;0;0;2224,0
164;Orebor Harborage, Zangarmarsh;966.6699829101562,7399.16015625,29.139999389648438;0,0.009999999776482582;0,0;530;0;164;1;0;4689;0;0;0;0,3837
165;Transport, Northrend 2;0,0,0;0,0;0,0;571;0;0;1024;0;4689;0;0;0;0,0
166;Emerald Sanctuary, Felwood;3972.840087890625,-1324.510009765625,244.80299377441406;0,0;0,0;1;0;166;3;0;4689;0;0;0;2224,3837
167;Forest Song, Ashenvale;3000.25,-3202.409912109375,189.77000427246094;0,-0.014000000432133675;0,0;1;0;167;1;0;4689;0;0;0;0,3837
168;Filming;-9441.1796875,65.05000305175781,56.18000030517578;0,0;0,0;0;0;0;1024;0;4689;0;0;0;0,3837
169;Quest - Netherwing Ledge - Mine Cart Ride - South - Start;-5224.52978515625,631.8499755859375,48.36000061035156;0,0;0,0;530;0;0;1024;0;4689;0;0;0;23372,23372
170;Quest - Netherwing Ledge - Mine Cart Ride - South - End;-5185.7099609375,172.9499969482422,-11.569999694824219;0,0;0,0;530;0;0;1024;0;4689;0;0;0;23289,23289
171;Skettis;-3364.679931640625,3650.179931640625,284.7799987792969;0,0;0,0;530;0;0;1024;0;4689;0;0;0;23422,23422
172;Ogri'La;2531.10009765625,7322.08984375,373.6400146484375;0,0;0,0;530;0;0;1024;0;4689;0;0;0;23422,23422
173;Quest - Yarzill Flight Start;-5141.35986328125,620.1099853515625,82.69999694824219;0,0;0,0;530;0;0;1024;0;4689;0;0;0;23468,23468
174;Quest - Yarzill Flight Start End;-1636.0899658203125,5275.8701171875,-41.099998474121094;0,0;0,0;530;0;0;1024;0;4689;0;0;0;0,0
175;Transport, Howling Fjord;784.8900146484375,-5066.18017578125,-7.880000114440918;0,0;0,0;571;0;0;1024;0;4689;0;0;0;0,0
176;Quest - Howling Fjord Tauren Canoe (Start);245.36000061035156,-3309.199951171875,0.9100000262260437;0,0;0,0;571;0;0;1024;0;4689;0;0;0;23518,23518
